_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
696e85197c417649c9c87643,Female,44,1,50,0,1-2 Year,Yes,33054,8,127,0
696e85197c417649c9c8960d,Male,38,1,28,1,1-2 Year,Yes,35545,156,249,0
696e85197c417649c9c8976f,Male,44,1,28,0,1-2 Year,Yes,78634,26,285,1
696e85197c417649c9c89f1e,Female,22,1,28,1,< 1 Year,No,50248,152,113,0
696e85197c417649c9c89907,Male,48,1,14,0,1-2 Year,Yes,24715,124,198,0
696e85197c417649c9c87de2,Female,47,1,28,0,1-2 Year,Yes,44496,52,286,0
696e85197c417649c9c90079,Female,20,1,9,1,< 1 Year,No,42394,160,118,0
696e85197c417649c9c8e490,Female,46,1,28,0,1-2 Year,Yes,35868,26,23,0
696e85197c417649c9c88a92,Male,21,1,2,0,< 1 Year,Yes,32449,154,155,1
696e85197c417649c9c8aaef,Female,75,1,50,0,1-2 Year,Yes,2630,160,227,0
696e85197c417649c9c87cee,Female,23,1,28,0,< 1 Year,Yes,40104,124,146,0
696e85197c417649c9c88141,Male,42,1,28,1,1-2 Year,No,34290,154,134,0
696e85197c417649c9c87f60,Female,20,1,47,0,< 1 Year,Yes,31425,160,100,0
696e85197c417649c9c89769,Male,58,1,37,0,1-2 Year,Yes,29117,124,265,1
696e85197c417649c9c87f1b,Female,23,1,10,1,< 1 Year,No,28551,152,163,0
696e85197c417649c9c89eda,Female,22,1,47,0,< 1 Year,Yes,31158,152,259,0
696e85197c417649c9c8e770,Male,56,1,28,1,1-2 Year,No,41559,124,291,0
696e85197c417649c9c8dd7a,Female,60,1,8,1,1-2 Year,No,66105,26,15,0
696e85197c417649c9c8e214,Male,23,1,29,1,< 1 Year,No,28867,152,46,0
696e85197c417649c9c8f96f,Male,47,1,18,1,1-2 Year,No,23869,30,288,0
696e85197c417649c9c86044,Female,36,1,46,0,< 1 Year,Yes,2630,1,94,0
696e85197c417649c9c8bb2e,Female,53,1,28,1,1-2 Year,No,35929,26,115,0
696e85197c417649c9c87d8c,Female,62,1,28,0,1-2 Year,Yes,57662,26,137,1
696e85197c417649c9c8fcdf,Male,27,1,28,1,< 1 Year,No,41340,152,255,0
696e85197c417649c9c87b19,Male,37,1,28,1,1-2 Year,No,42197,152,21,0
696e85197c417649c9c8eddf,Female,21,1,46,1,< 1 Year,No,28377,152,251,0
696e85197c417649c9c8658c,Female,42,1,8,0,1-2 Year,Yes,37927,26,258,1
696e85197c417649c9c86de1,Male,24,1,8,0,< 1 Year,Yes,60750,151,153,0
696e85197c417649c9c8f67f,Male,77,1,28,0,1-2 Year,Yes,76682,26,59,0
696e85197c417649c9c8fe45,Female,55,1,38,0,1-2 Year,Yes,32458,124,10,1
696e85197c417649c9c8a110,Male,21,1,36,0,< 1 Year,Yes,27950,152,240,1
696e85197c417649c9c8e695,Male,39,1,28,0,1-2 Year,Yes,58208,124,123,0
696e85197c417649c9c8b965,Male,37,1,24,0,1-2 Year,Yes,2630,156,291,0
696e85197c417649c9c8b9d9,Female,24,1,11,1,< 1 Year,No,55721,152,141,0
696e85197c417649c9c8d613,Male,37,1,11,0,1-2 Year,Yes,32516,124,197,1
696e85197c417649c9c8fee2,Male,25,1,3,1,< 1 Year,No,2630,152,292,0
696e85197c417649c9c8909e,Male,32,1,28,1,1-2 Year,No,74255,13,130,0
696e85197c417649c9c8e29c,Female,21,1,35,0,< 1 Year,Yes,32512,160,51,0
696e85197c417649c9c8de4b,Female,21,1,29,1,< 1 Year,No,40972,152,82,0
696e85197c417649c9c8b87d,Male,30,1,8,1,< 1 Year,No,30246,152,295,0
696e85197c417649c9c878dc,Female,49,1,48,0,1-2 Year,Yes,2630,15,193,0
696e85197c417649c9c8a92b,Female,49,1,28,1,1-2 Year,No,44096,122,173,0
696e85197c417649c9c8db9c,Male,25,1,17,1,< 1 Year,No,2630,152,218,0
696e85197c417649c9c86bd1,Male,44,1,41,0,1-2 Year,Yes,42629,26,298,0
696e85197c417649c9c8932b,Male,44,1,33,0,1-2 Year,Yes,34424,124,215,0
696e85197c417649c9c8e298,Male,70,1,28,1,1-2 Year,No,36684,26,85,0
696e85197c417649c9c8a1e5,Male,29,1,6,1,< 1 Year,No,35566,152,46,0
696e85197c417649c9c8ba5c,Male,28,1,41,0,< 1 Year,No,32328,152,108,0
696e85197c417649c9c8de22,Male,52,1,28,0,> 2 Years,Yes,64254,26,120,0
696e85197c417649c9c89b32,Female,26,1,46,1,< 1 Year,No,23382,152,164,0
696e85197c417649c9c89d19,Male,22,1,8,1,< 1 Year,No,43657,152,22,0
696e85197c417649c9c8652b,Male,72,1,28,1,1-2 Year,No,28629,122,201,0
696e85197c417649c9c88b1c,Male,27,1,18,1,< 1 Year,No,31010,152,144,0
696e85197c417649c9c8d510,Female,37,1,4,0,1-2 Year,Yes,28407,124,25,0
696e85197c417649c9c8c458,Male,71,1,8,0,1-2 Year,Yes,2630,7,47,0
696e85197c417649c9c8a6c3,Male,51,1,28,0,1-2 Year,Yes,2630,26,274,1
696e85197c417649c9c8e43c,Female,20,1,15,0,< 1 Year,No,29053,160,45,0
696e85197c417649c9c86720,Female,25,1,8,1,< 1 Year,No,28485,160,247,0
696e85197c417649c9c89eee,Female,79,1,28,0,> 2 Years,Yes,64366,3,73,1
696e85197c417649c9c87b4f,Male,51,1,28,1,1-2 Year,No,40778,26,215,0
696e85197c417649c9c8a8c4,Male,54,1,28,0,1-2 Year,Yes,64220,124,29,0
696e85197c417649c9c8a451,Female,25,1,41,1,< 1 Year,No,21745,152,267,0
696e85197c417649c9c87f56,Male,44,1,28,0,1-2 Year,Yes,64921,26,270,0
696e85197c417649c9c89e06,Female,58,1,30,0,1-2 Year,Yes,35331,122,35,1
696e85197c417649c9c8a6dc,Female,23,1,15,0,< 1 Year,Yes,63698,152,252,0
696e85197c417649c9c86918,Male,22,1,10,0,< 1 Year,Yes,28157,152,261,0
696e85197c417649c9c8cd88,Male,32,1,35,0,1-2 Year,Yes,2630,157,127,0
